Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,F:Microsoft.Maui.Controls.BindingMode.Default,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,%USERPROFILE%\.nuget\packages\microsoft.windowsappsdk\1.6.241114003\include\UndockedRegFreeWinRT-AutoInitializer.cs,26,12,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(""MICROSOFT_WINDOWSAPPRUNTIME_BASE_DIRECTORY"", AppContext.BaseDirectory);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Platforms\Windows\App.g.i.cs,50,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Platforms/Windows/App.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Platforms\Windows\App.g.i.cs,50,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Platforms/Windows/App.xaml"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\Platforms\Windows\App.xaml.cs,21,8,T:Microsoft.Maui.Hosting.MauiApp,,,,,protected override MauiApp CreateMauiApp()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\Platforms\Windows\App.xaml.cs,21,54,T:Microsoft.Maui.Hosting.MauiApp,,,,,MauiProgram.CreateMauiApp()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\Platforms\Windows\App.xaml.cs,16,8,M:Microsoft.Maui.MauiWinUIApplication.#ctor,,,,,public App()          {              this.InitializeComponent();          }
